source_id,title,year,venue,doi_or_url,source_type,topic_family,theorem_dependency,claim_supported,provenance,used_in_proof_dependency,read_status
SRC0001,"Assouad, Fano, and Le Cam with Interaction",2024,arXiv,https://arxiv.org/abs/2410.05117,primary_preprint,lower_bounds,T10,Le Cam/Fano lower-bound lineage for boundary indistinguishability.,curated_primary_anchor,True,read_anchor
SRC0002,A Bernstein type inequality and moderate deviations for weakly dependent sequences,2009,arXiv,https://arxiv.org/abs/0902.0582,primary_preprint,mixing_processes,T9,Strong-mixing concentration lineage for separated-window arguments.,curated_primary_anchor,True,read_anchor
SRC0003,A Formal Verification Framework for Runtime Assurance,2024,NASA NTRS,https://ntrs.nasa.gov/citations/20240006522,primary_report,runtime_assurance,T9/T10,Runtime-assurance and Simplex positioning for safety monitors.,curated_primary_anchor,True,read_anchor
SRC0004,Control Barrier Functions: Theory and Applications,2019,European Control Conference,https://authors.library.caltech.edu/records/51yvp-rha55,primary_conference,safety_filters,T11,Set-based safety filtering and admissible-action lineage.,curated_primary_anchor,True,read_anchor
SRC0005,Conformalized Quantile Regression,2019,NeurIPS,https://arxiv.org/abs/1905.03222,primary_preprint,conformal_shift,T10,Coverage and interval machinery used by reliability-risk envelopes.,curated_primary_anchor,True,read_anchor
SRC0006,Adaptive Conformal Inference Under Distribution Shift,2021,NeurIPS,https://arxiv.org/abs/2106.00170,primary_preprint,conformal_shift,T10,Shift-aware calibration boundary for degraded-observation claims.,curated_primary_anchor,True,read_anchor
SRC0007,NuPlan: A closed-loop ML-based planning benchmark for autonomous vehicles,2021,arXiv,https://arxiv.org/abs/2106.11810,primary_preprint,av_validation,T9/T10,AV validation boundary and closed-loop benchmark comparator.,curated_primary_anchor,True,read_anchor
SRC0008,BatteryML: An Open-source platform for Machine Learning on Battery Degradation,2023,ICLR,https://www.microsoft.com/en-us/research/publication/batteryml-an-open-source-platform-for-machine-learning-on-battery-degradation/,primary_conference,battery_validation,T9/T10,Battery benchmark and reproducibility comparator.,curated_primary_anchor,True,read_anchor
SRC0009,Multitask learning and benchmarking with clinical time series data,2019,Scientific Data,https://www.nature.com/articles/s41597-019-0103-9,primary_journal,healthcare_validation,T9/T10,MIMIC benchmark comparator for retrospective healthcare validation.,curated_primary_anchor,True,read_anchor
SRC0010,TRIPOD+AI statement,2024,BMJ,https://www.bmj.com/content/385/bmj-2023-078378,reporting_guideline,healthcare_validation,T10,Healthcare reporting and overclaim boundary.,curated_primary_anchor,True,read_anchor
