trace_id,scenario_id,controller,fault_family,step_index,observed_margin,true_margin,margin_gap,reliability_w,widening_factor,intervened,fallback_used,certificate_valid,validity_score
77dc0bab35dc9a9c-23-orius,77dc0bab35dc9a9c,orius,out_of_order,23,95.0,-9.90292994131105,104.90292994131104,0.9204544883863656,3.0,True,False,True,0.7985477566751127
e645e182d1161442-19-orius,e645e182d1161442,orius,stale,19,95.0,-9.874566144504024,104.87456614450403,0.375,2.5308065606030685,True,False,True,0.7104876826256477
d3051b06c98d78dc-49-orius,d3051b06c98d78dc,orius,out_of_order,49,95.0,-9.531138391642855,104.53113839164286,0.25,2.6919557135445027,True,False,True,0.8164257096214919
8e6be5cd9641d2d-48-orius,8e6be5cd9641d2d,orius,out_of_order,48,95.0,-9.409880605545336,104.40988060554534,0.875,3.0,True,False,True,0.7994216619549481
1e1b502a2cc71399-46-orius,1e1b502a2cc71399,orius,stale,46,95.0,-9.39352672829238,104.39352672829239,0.3522727272727273,2.437335238875496,True,False,True,0.8235596692243147
e645e182d1161442-20-orius,e645e182d1161442,orius,stale,20,95.0,-9.018563137097438,104.01856313709743,0.375,2.528378521996386,True,False,True,0.712364427442407
1e1b502a2cc71399-47-orius,1e1b502a2cc71399,orius,stale,47,95.0,-8.755679718997069,103.75567971899707,0.3409090909090909,2.4713438941109507,True,False,True,0.8179454816442808
1e1b502a2cc71399-48-orius,1e1b502a2cc71399,orius,stale,48,95.0,-8.142296055264584,103.14229605526458,0.3295454545454545,2.4604531387390405,True,False,True,0.8464547733331838
e645e182d1161442-21-orius,e645e182d1161442,orius,stale,21,95.0,-8.124247683866166,103.12424768386617,0.375,2.5514087626423834,True,False,True,0.6945632752522638
1e1b502a2cc71399-49-orius,1e1b502a2cc71399,orius,stale,49,95.0,-7.536540615984469,102.53654061598446,0.3181818181818182,2.4946012148503027,True,False,True,0.8408904615578143
e645e182d1161442-22-orius,e645e182d1161442,orius,stale,22,95.0,-7.220233511607342,102.22023351160735,0.375,2.545152315376377,True,False,True,0.6993991765206751
1e1b502a2cc71399-50-orius,1e1b502a2cc71399,orius,stale,50,95.0,-6.939156767412633,101.93915676741263,0.3068181818181818,2.5274599928719397,True,False,True,0.8364584845393201
e645e182d1161442-23-orius,e645e182d1161442,orius,stale,23,95.0,-6.263677182514347,101.26367718251434,0.375,2.6106796875,True,False,True,0.64875
e645e182d1161442-24-orius,e645e182d1161442,orius,stale,24,95.0,-5.314163798300052,100.31416379830006,0.375,2.371549933879434,True,False,True,0.8335845921704859
8b0d1071d34a2cdc-50-orius,8b0d1071d34a2cdc,orius,stale,50,95.0,-5.023497992546927,100.02349799254692,0.3295454545454545,2.556298816331254,True,False,True,0.77397544336743
8b0d1071d34a2cdc-49-orius,8b0d1071d34a2cdc,orius,stale,49,95.0,-4.871507422058603,99.8715074220586,0.3409090909090909,2.51721275168339,True,False,True,0.7830702486533127
8b0d1071d34a2cdc-48-orius,8b0d1071d34a2cdc,orius,stale,48,95.0,-4.733542773644564,99.73354277364456,0.3522727272727273,2.49202073555506,True,False,True,0.7817533647520569
8b0d1071d34a2cdc-40-orius,8b0d1071d34a2cdc,orius,stale,40,95.0,-4.640517662161315,99.64051766216132,0.375,2.402283687839952,True,False,True,0.8098290335536604
8b0d1071d34a2cdc-47-orius,8b0d1071d34a2cdc,orius,stale,47,95.0,-4.629182996989063,99.62918299698906,0.3636363636363636,2.4189515128604877,True,False,True,0.8173360456380216
8b0d1071d34a2cdc-41-orius,8b0d1071d34a2cdc,orius,stale,41,95.0,-4.565542461037,99.565542461037,0.375,2.400308378882832,True,False,True,0.8113558424094047
