w,h_eff_k2.0
0.0,1.0
0.01,1.02
0.02,1.04
0.03,1.06
0.04,1.08
0.05,1.1
0.06,1.12
0.07,1.1400000000000001
0.08,1.16
0.09,1.18
0.1,1.2
0.11,1.22
0.12,1.24
0.13,1.26
0.14,1.28
0.15,1.3
0.16,1.32
0.17,1.34
0.18,1.3599999999999999
0.19,1.38
0.2,1.4
0.21,1.42
0.22,1.44
0.23,1.46
0.24,1.48
0.25,1.5
0.26,1.52
0.27,1.54
0.28,1.56
0.29,1.58
0.3,1.6
0.31,1.62
0.32,1.6400000000000001
0.33,1.6600000000000001
0.34,1.6800000000000002
0.35000000000000003,1.7000000000000002
0.36,1.72
0.37,1.74
0.38,1.76
0.39,1.78
0.4,1.8
0.41000000000000003,1.82
0.42,1.8399999999999999
0.43,1.8599999999999999
0.44,1.88
0.45,1.9
0.46,1.92
0.47000000000000003,1.94
0.48,1.96
0.49,1.98
0.5,2.0
0.51,2.02
0.52,2.04
0.53,2.06
0.54,2.08
0.55,2.1
0.56,2.12
0.5700000000000001,2.14
0.58,2.16
0.59,2.1799999999999997
0.6,2.2
0.61,2.2199999999999998
0.62,2.24
0.63,2.26
0.64,2.2800000000000002
0.65,2.3
0.66,2.3200000000000003
0.67,2.34
0.68,2.3600000000000003
0.6900000000000001,2.38
0.7000000000000001,2.4000000000000004
0.71,2.42
0.72,2.44
0.73,2.46
0.74,2.48
0.75,2.5
0.76,2.52
0.77,2.54
0.78,2.56
0.79,2.58
0.8,2.6
0.81,2.62
0.8200000000000001,2.64
0.8300000000000001,2.66
0.84,2.6799999999999997
0.85,2.7
0.86,2.7199999999999998
0.87,2.74
0.88,2.76
0.89,2.7800000000000002
0.9,2.8
0.91,2.8200000000000003
0.92,2.84
0.93,2.8600000000000003
0.9400000000000001,2.88
0.9500000000000001,2.9000000000000004
0.96,2.92
0.97,2.94
0.98,2.96
0.99,2.98
1.0,3.0
